slug	slot	setting	scenario	cast	pitch
spicy-fried-adzuki	low	wedding	impulse-checked	group	grounded
spicy-fried-adzuki	least	street	impulse-suppressed	stranger	grounded
spicy-fried-green	most	workplace	doubling-down	group	grounded
spicy-fried-green	high	house	pressure-resisted	family	grounded
spicy-fried-green	mid	car park	indifference-shown	alone	grounded
spicy-fried-green	low	house	deference-shown	friend	grounded
spicy-fried-green	least	house	deference-shown	partner	grounded
spicy-roasted-mung	most	airport	affection-shown	friend	grounded
spicy-roasted-mung	high	phone	affection-shown	family	grounded
spicy-roasted-mung	mid	party	affection-shown	stranger	grounded
spicy-roasted-mung	low	doorstep	affection-restrained	friend	grounded
spicy-roasted-mung	least	doorstep	affection-withheld	family	grounded
spicy-smoked-navy	most	house	commitment-kept	friend	grounded
spicy-smoked-navy	high	prison	commitment-kept	friend	grounded
spicy-smoked-navy	mid	sports club	routine-maintained	group	grounded
spicy-smoked-navy	low	train	commitment-broken	friend	grounded
spicy-smoked-navy	least	house	commitment-broken	friend	grounded
sweet-dried-butter	most	plane	composure-held	group	grounded
sweet-dried-butter	high	cafe	composure-held	stranger	grounded
sweet-dried-butter	mid	park	composure-held	group	grounded
sweet-dried-butter	low	sports club	conflict-entered	group	grounded
sweet-dried-butter	least	car	conflict-entered	stranger	grounded
sweet-dried-cannellini	most	bedroom	work-redone	alone	grounded
sweet-dried-cannellini	high	living room	standard-upheld	alone	grounded
sweet-dried-cannellini	mid	pub	flourish-added	group	grounded
sweet-dried-cannellini	low	photobooth	imperfection-chosen	partner	grounded
sweet-dried-cannellini	least	party	exuberance-chosen	alone	grounded
sweet-dried-edamame	most	kitchen	complexity-rejected	alone	grounded
sweet-dried-edamame	high	house	planning-rejected	partner	grounded
sweet-dried-edamame	mid	house	method-rejected	partner	grounded
sweet-dried-edamame	low	car	scenic-detour	alone	grounded
sweet-dried-edamame	least	house	possession-kept	alone	grounded
sweet-dried-green	most	street	reconnection-attempted	friend	grounded
sweet-dried-green	high	party	reconnection-attempted	friend	grounded
sweet-dried-green	mid	house	continuity-resumed	alone	grounded
sweet-dried-green	low	party	invitation-declined	group	grounded
sweet-dried-green	least	house	contact-avoided	alone	grounded
sweet-dried-navy	most	car	duty-kept	family	grounded
sweet-dried-navy	high	house	duty-kept	neighbour	grounded
sweet-dried-navy	mid	court	duty-kept	official	grounded
sweet-dried-navy	low	house	duty-postponed	alone	grounded
sweet-dried-navy	least	house	duty-neglected	alone	grounded
sweet-dried-pinto	most	house	story-embellished	family	grounded
sweet-dried-pinto	high	party	story-told	friend	grounded
sweet-dried-pinto	mid	house	story-told	stranger	grounded
sweet-dried-pinto	low	house	preciousness-dropped	family	grounded
sweet-dried-pinto	least	house	sentiment-dropped	alone	grounded
sweet-fermented-adzuki	most	street	possession-kept	friend	grounded
sweet-fermented-adzuki	high	kitchen	memory-recounted	family	grounded
sweet-fermented-adzuki	mid	street	memory-chased	stranger	grounded
sweet-fermented-adzuki	low	bedroom	possession-discarded	alone	grounded
sweet-fermented-adzuki	least	house	possession-declined	family	grounded
sweet-fried-adzuki	most	hot air balloon	joy-expressed	stranger	grounded
sweet-fried-adzuki	high	professional kitchen	joy-expressed	colleague	grounded
sweet-fried-adzuki	mid	boat	joy-expressed	group	grounded
sweet-fried-adzuki	low	sports club	celebration-declined	stranger	grounded
sweet-fried-adzuki	least	party	joy-withheld	family	grounded
sweet-fried-fava	most	boat	risk-taken	alone	grounded
sweet-fried-fava	high	gallery	opportunity-seized	official	grounded
sweet-fried-fava	mid	house	risk-taken	neighbour	grounded
sweet-fried-fava	low	workplace	risk-checked	friend	grounded
sweet-fried-fava	least	hills	risk-declined	alone	grounded
sweet-roasted-butter	most	restaurant	joke-made	group	grounded
sweet-roasted-butter	high	stage	joke-made	group	grounded
sweet-roasted-butter	mid	plane	setback-shrugged	official	grounded
sweet-roasted-butter	low	party	laugh-withheld	family	grounded
sweet-roasted-butter	least	pub	sincerity-insisted	friend	grounded
sweet-roasted-edamame	most	house	discomfort-absorbed	family	grounded
sweet-roasted-edamame	high	hospital	discomfort-absorbed	family	grounded
sweet-roasted-edamame	mid	restaurant	discomfort-absorbed	group	grounded
sweet-roasted-edamame	low	car park	advantage-taken	stranger	grounded
sweet-roasted-edamame	least	house	share-fair	group	grounded
sweet-roasted-kidney	most	phone	plan-discouraged	friend	grounded
sweet-roasted-kidney	high	gig	attendance-kept	friend	grounded
sweet-roasted-kidney	mid	shop	gift-remembered	partner	grounded
sweet-roasted-kidney	low	airport	meeting-declined	friend	grounded
sweet-roasted-kidney	least	uncanny	contact-withheld	friend	fantastical
sweet-roasted-navy	most	street	neighbourhood-watch	neighbour	grounded
sweet-roasted-navy	high	street	help-organised	neighbour	grounded
sweet-roasted-navy	mid	doorstep	help-small	neighbour	grounded
sweet-roasted-navy	low	stairwell	greeting-brief	neighbour	grounded
sweet-roasted-navy	least	street	friendship-declined	neighbour	grounded
sweet-smoked-adzuki	most	lift	strangers-included	stranger	grounded
sweet-smoked-adzuki	high	wedding	newcomer-included	stranger	grounded
sweet-smoked-adzuki	mid	cafe	stranger-warmed	stranger	grounded
sweet-smoked-adzuki	low	house	quiet-sought	family	grounded
sweet-smoked-adzuki	least	gig	attention-avoided	group	grounded
sweet-smoked-butter	most	car	attention-drifted	alone	grounded
sweet-smoked-butter	high	pub	definition-avoided	friend	grounded
sweet-smoked-butter	mid	car	attention-absent	family	grounded
sweet-smoked-butter	low	uncanny	control-taken	alone	grounded
sweet-smoked-butter	least	bus	crisis-response	stranger	grounded
sweet-smoked-edamame	most	party	conflict-defused	group	grounded
sweet-smoked-edamame	high	airport	warmth-offered	official	grounded
sweet-smoked-edamame	mid	party	conflict-defused	stranger	grounded
sweet-smoked-edamame	low	doorstep	price-held	stranger	grounded
sweet-smoked-edamame	least	shop	public-confrontation	official	grounded
sweet-smoked-pinto	most	pub	atmosphere-preferred	friend	grounded
sweet-smoked-pinto	high	house	atmosphere-preferred	alone	grounded
sweet-smoked-pinto	mid	pub	atmosphere-preferred	friend	grounded
sweet-smoked-pinto	low	pub	evidence-demanded	friend	grounded
sweet-smoked-pinto	least	house	evidence-demanded	alone	grounded
umami-boiled-chickpea	most	house	adaptation-instant	group	grounded
umami-boiled-chickpea	high	gig	adaptation-instant	group	grounded
umami-boiled-chickpea	mid	boat	adaptation-instant	alone	grounded
umami-boiled-chickpea	low	house	habit-kept	friend	grounded
umami-boiled-chickpea	least	house	habit-kept	alone	grounded
umami-dried-navy	most	street	routine-maintained	alone	grounded
umami-dried-navy	high	house	routine-maintained	alone	grounded
umami-dried-navy	mid	house	completion-forced	alone	grounded
umami-dried-navy	low	house	project-abandoned	alone	grounded
umami-dried-navy	least	house	project-abandoned	alone	grounded
umami-fermented-chickpea	most	restaurant	novelty-pursued	official	grounded
umami-fermented-chickpea	high	farm	novelty-pursued	alone	grounded
umami-fermented-chickpea	mid	school	novelty-pursued	group	grounded
umami-fermented-chickpea	low	shop	routine-maintained	official	grounded
umami-fermented-chickpea	least	gig	routine-maintained	group	grounded
umami-fermented-fava	most	professional kitchen	instruction-defied	official	grounded
umami-fermented-fava	high	dojo	instruction-defied	official	grounded
umami-fermented-fava	mid	restaurant	rule-bent	official	grounded
umami-fermented-fava	low	warehouse	rule-followed	official	grounded
umami-fermented-fava	least	workplace	rule-followed	official	grounded
umami-fermented-navy	most	churchyard	decision-delayed	official	grounded
umami-fermented-navy	high	street	decision-delayed	stranger	grounded
umami-fermented-navy	mid	animal shelter	decision-delayed	official	grounded
umami-fermented-navy	low	river	impulse-followed	stranger	grounded
umami-fermented-navy	least	tattoo studio	impulse-followed	friend	grounded
umami-fried-black	most	house	conclusion-fixed	alone	grounded
umami-fried-black	high	house	focus-held	friend	grounded
umami-fried-black	mid	house	focus-held	friend	grounded
umami-fried-black	low	house	focus-split	alone	grounded
umami-fried-black	least	house	focus-split	alone	grounded
umami-fried-chickpea	most	house	preparation-early	alone	grounded
umami-fried-chickpea	high	pub	subject-opened	friend	grounded
umami-fried-chickpea	mid	kitchen	preparation-early	alone	grounded
umami-fried-chickpea	low	house	intervention-withheld	group	grounded
umami-fried-chickpea	least	garden	intervention-withheld	neighbour	grounded
umami-roasted-adzuki	most	doorstep	warmth-overstayed	neighbour	grounded
umami-roasted-adzuki	high	house	shelter-offered	stranger	grounded
umami-roasted-adzuki	mid	barbecue	newcomer-included	stranger	grounded
umami-roasted-adzuki	low	supermarket	greeting-brief	friend	grounded
umami-roasted-adzuki	least	evening class	invitation-declined	group	grounded
umami-roasted-cannellini	most	tattoo studio	disclosure-volunteered	stranger	grounded
umami-roasted-cannellini	high	hospital	disclosure-volunteered	stranger	grounded
umami-roasted-cannellini	mid	party	disclosure-volunteered	friend	grounded
umami-roasted-cannellini	low	house	question-deflected	family	grounded
umami-roasted-cannellini	least	house	question-deflected	partner	grounded
umami-roasted-chickpea	most	house	conflict-avoided	housemate	grounded
umami-roasted-chickpea	high	house	tolerance-shown	family	grounded
umami-roasted-chickpea	mid	workplace	tolerance-shown	group	grounded
umami-roasted-chickpea	low	garden	boundary-stated	neighbour	grounded
umami-roasted-chickpea	least	house	judgement-declared	friend	grounded
umami-roasted-pinto	most	phone	effort-overdone	friend	grounded
umami-roasted-pinto	high	street	effort-overdone	friend	grounded
umami-roasted-pinto	mid	phone	effort-added	friend	grounded
umami-roasted-pinto	low	party	effort-minimised	stranger	grounded
umami-roasted-pinto	least	house	effort-minimised	family	grounded
umami-smoked-cannellini	most	party	poise-held	group	grounded
umami-smoked-cannellini	high	house	poise-held	family	grounded
umami-smoked-cannellini	mid	stage	poise-held	group	grounded
umami-smoked-cannellini	low	gallery	indignity-absorbed	stranger	grounded
umami-smoked-cannellini	least	school	indignity-embraced	group	grounded
umami-smoked-edamame	most	pub	hunch-held	friend	grounded
umami-smoked-edamame	high	party	hunch-followed	group	grounded
umami-smoked-edamame	mid	restaurant	decision-instant	alone	grounded
umami-smoked-edamame	low	market	plan-improvised	alone	grounded
umami-smoked-edamame	least	party	signal-missed	friend	grounded
bitter-dried-chickpea	most	boat	kit-verified	friend	elevated
bitter-dried-chickpea	high	party	sayso-refused	group	grounded
bitter-dried-chickpea	mid	car	glance-taken	stranger	grounded
bitter-dried-chickpea	low	bowling alley	invitation-followed	colleague	grounded
bitter-dried-chickpea	least	casino	lift-taken	stranger	elevated
bitter-roasted-fava	most	stage	stage-taken	group	elevated
bitter-roasted-fava	high	supermarket	queue-held	stranger	grounded
bitter-roasted-fava	mid	ice rink	incompetence-displayed	friend	grounded
bitter-roasted-fava	low	wedding	spotlight-dodged	family	grounded
bitter-roasted-fava	least	hotel	spillage-atoned	stranger	elevated
sweet-roasted-fava	most	boat	dive-forced	group	elevated
sweet-roasted-fava	high	waiting room	avoidance-broken	partner	grounded
sweet-roasted-fava	mid	sports club	courage-lent	colleague	grounded
sweet-roasted-fava	low	restaurant	delay-advised	friend	grounded
sweet-roasted-fava	least	hills	ascent-deflated	group	elevated
umami-smoked-butter	most	hotel	island-unleft	stranger	elevated
umami-smoked-butter	high	escape room	panic-declined	group	grounded
umami-smoked-butter	mid	laundrette	wait-chosen	alone	grounded
umami-smoked-butter	low	park	room-started	group	grounded
umami-smoked-butter	least	train	evacuation-led	stranger	elevated
spicy-fermented-green	most	farm	menu-overthrown	friend	elevated
spicy-fermented-green	high	street	route-invented	alone	grounded
spicy-fermented-green	mid	clinic	regimen-altered	official	grounded
spicy-fermented-green	low	wedding	list-obeyed	family	grounded
spicy-fermented-green	least	boat	watch-restored	group	elevated
sour-boiled-kidney	most	care home	sunday-kept	neighbour	grounded
sour-boiled-kidney	high	car	journey-made	family	elevated
sour-boiled-kidney	mid	train	passport-covered	friend	elevated
sour-boiled-kidney	low	house	confidence-shared	partner	grounded
sour-boiled-kidney	least	pub	secret-told	group	grounded
bitter-roasted-adzuki	most	restaurant	disaster-smoothed	friend	elevated
bitter-roasted-adzuki	high	hotel	arrival-rehearsed	family	grounded
bitter-roasted-adzuki	mid	street	shirt-changed	friend	grounded
bitter-roasted-adzuki	low	barbers	tidy-declined	official	grounded
bitter-roasted-adzuki	least	wedding	toast-unprepared	family	elevated
spicy-boiled-pinto	most	pub	hour-filled	friend	elevated
spicy-boiled-pinto	high	restaurant	table-left	group	grounded
spicy-boiled-pinto	mid	bookshop	list-overgiven	colleague	grounded
spicy-boiled-pinto	low	lido	afternoon-emptied	alone	grounded
spicy-boiled-pinto	least	expedition	kit-abandoned	alone	elevated
spicy-boiled-black	most	warehouse	shifts-taken	alone	grounded
spicy-boiled-black	high	house	slog-continued	partner	elevated
spicy-boiled-black	mid	kitchen	grimjob-taken	family	grounded
spicy-boiled-black	low	street	relief-bought	friend	grounded
spicy-boiled-black	least	hills	trek-abandoned	friend	elevated
sour-smoked-edamame	most	expedition	cut-delivered	group	elevated
sour-smoked-edamame	high	kitchen	sentence-retracted	family	grounded
sour-smoked-edamame	mid	party	quiet-correction	stranger	grounded
sour-smoked-edamame	low	food bank	over-intervention	stranger	grounded
sour-smoked-edamame	least	gallery	canvas-holed	friend	elevated
spicy-fried-fava	most	sea	causeway-crossed	group	grounded
spicy-fried-fava	high	phone	place-taken	friend	elevated
spicy-fried-fava	mid	airport	gig-chased	housemate	elevated
spicy-fried-fava	low	lido	board-declined	friend	grounded
spicy-fried-fava	least	pub	slot-surrendered	group	grounded
bitter-boiled-mung	most	clinic	diagnosis-repeated	partner	grounded
bitter-boiled-mung	high	hills	hazard-removed	group	elevated
bitter-boiled-mung	mid	house	alarm-fixed	friend	grounded
bitter-boiled-mung	low	kitchen	wash-ruined	housemate	grounded
bitter-boiled-mung	least	station	booking-rushed	family	elevated
spicy-fermented-mung	most	library	hours-lost	alone	elevated
spicy-fermented-mung	high	car park	departure-delayed	group	elevated
spicy-fermented-mung	mid	phone	task-expanded	partner	grounded
spicy-fermented-mung	low	house	four-rotated	alone	grounded
spicy-fermented-mung	least	cafe	focus-lost	alone	grounded
sweet-fried-green	most	wedding	laughter-uncontained	stranger	elevated
sweet-fried-green	high	hills	news-broadcast	friend	elevated
sweet-fried-green	mid	street	joy-unearned	stranger	grounded
sweet-fried-green	low	pub	announcement-received	friend	grounded
sweet-fried-green	least	garden	phones-held	neighbour	grounded
umami-boiled-butter	most	train	sunrise-slept	friend	elevated
umami-boiled-butter	high	living room	pause-imposed	group	grounded
umami-boiled-butter	mid	doorstep	outage-sat	housemate	grounded
umami-boiled-butter	low	hotel	itinerary-driven	partner	elevated
umami-boiled-butter	least	lido	swim-extended	friend	grounded
umami-dried-pinto	most	party	tribute-overbuilt	friend	elevated
umami-dried-pinto	high	street	posters-peeled	friend	grounded
umami-dried-pinto	mid	workplace	memory-inscribed	colleague	grounded
umami-dried-pinto	low	sports club	answer-flattened	stranger	elevated
umami-dried-pinto	least	house	film-reduced	friend	grounded
spicy-boiled-adzuki	most	house	night-extended	neighbour	elevated
spicy-boiled-adzuki	high	pub	night-started	colleague	grounded
spicy-boiled-adzuki	mid	sports club	rally-called	friend	grounded
spicy-boiled-adzuki	low	barbecue	outing-declined	friend	grounded
spicy-boiled-adzuki	least	holiday let	room-unlifted	group	elevated
spicy-fried-navy	most	expedition	plan-monopolised	friend	elevated
spicy-fried-navy	high	street	evacuation-directed	neighbour	elevated
spicy-fried-navy	mid	restaurant	bill-divided	group	grounded
spicy-fried-navy	low	house	deposit-conceded	official	grounded
spicy-fried-navy	least	park	group-ceded	group	grounded
sweet-boiled-chickpea	most	hills	route-conceded	group	elevated
sweet-boiled-chickpea	high	holiday let	slight-accepted	friend	grounded
sweet-boiled-chickpea	mid	house	move-rescheduled	friend	grounded
sweet-boiled-chickpea	low	restaurant	plates-unshared	group	grounded
sweet-boiled-chickpea	least	stairwell	repair-blocked	neighbour	elevated
spicy-fried-butter	most	gym	entry-claimed	friend	elevated
spicy-fried-butter	high	street	drive-volunteered	friend	elevated
spicy-fried-butter	mid	sports club	interest-woken	friend	grounded
spicy-fried-butter	low	sea	swim-declined	friend	grounded
spicy-fried-butter	least	phone	expedition-passed	friend	grounded
spicy-smoked-chickpea	most	taxi	evening-split	friend	elevated
spicy-smoked-chickpea	high	car	day-doubled	family	grounded
spicy-smoked-chickpea	mid	kitchen	three-juggled	family	grounded
spicy-smoked-chickpea	low	waiting room	errands-skipped	alone	grounded
spicy-smoked-chickpea	least	hotel	list-abandoned	partner	elevated
sweet-boiled-butter	most	kitchen	damage-absorbed	friend	elevated
sweet-boiled-butter	high	funeral	absence-forgiven	friend	elevated
sweet-boiled-butter	mid	supermarket	wheel-forgiven	stranger	grounded
sweet-boiled-butter	low	car	grievance-revived	friend	grounded
sweet-boiled-butter	least	restaurant	apology-insufficient	friend	grounded
sour-smoked-navy	most	street	road-kept	alone	grounded
sour-smoked-navy	high	river	training-held	friend	elevated
sour-smoked-navy	mid	bike shop	upgrade-refused	official	grounded
sour-smoked-navy	low	restaurant	plan-swapped	colleague	grounded
sour-smoked-navy	least	airport	course-abandoned	stranger	elevated
spicy-boiled-butter	most	kitchen	strain-hidden	partner	grounded
spicy-boiled-butter	high	hills	injury-carried	friend	elevated
spicy-boiled-butter	mid	evening class	cold-endured	group	grounded
spicy-boiled-butter	low	gig	discomfort-voiced	friend	grounded
spicy-boiled-butter	least	plane	complaint-repeated	stranger	elevated
bitter-fried-edamame	most	motorway services	passenger-ejected	friend	elevated
bitter-fried-edamame	high	hills	valley-chosen	group	elevated
bitter-fried-edamame	mid	vets	treatment-authorised	official	grounded
bitter-fried-edamame	low	house	room-deferred	stranger	grounded
bitter-fried-edamame	least	careers fair	slots-unclaimed	stranger	grounded
umami-smoked-chickpea	most	station	sentence-unsaid	friend	elevated
umami-smoked-chickpea	high	graduation	seat-taken	friend	grounded
umami-smoked-chickpea	mid	house	row-unmentioned	housemate	grounded
umami-smoked-chickpea	low	bus stop	words-spent	partner	grounded
umami-smoked-chickpea	least	wedding	joke-explained	stranger	elevated
bitter-boiled-black	most	court	verdict-delayed	group	elevated
bitter-boiled-black	high	house	offer-slept-on	stranger	grounded
bitter-boiled-black	mid	shop	smallprint-read	official	grounded
bitter-boiled-black	low	pub	answer-blurted	family	grounded
bitter-boiled-black	least	canal	rescue-entered	stranger	elevated
sour-roasted-cannellini	most	hostel	truth-persists	group	grounded
sour-roasted-cannellini	high	hospital	denial-contradicted	family	elevated
sour-roasted-cannellini	mid	hairdresser	cut-criticised	official	grounded
sour-roasted-cannellini	low	gallery	praise-deflected	friend	elevated
sour-roasted-cannellini	least	balcony	consent-faked	housemate	grounded
sour-fried-fava	most	doorstep	sale-snapped	official	grounded
sour-fried-fava	high	forest	roadblock-passed	group	elevated
sour-fried-fava	mid	cafe	order-placed	friend	grounded
sour-fried-fava	low	ferry	seat-hesitated	stranger	elevated
sour-fried-fava	least	animal shelter	dog-deferred	official	grounded
umami-smoked-kidney	most	bedroom	flat-preserved	alone	grounded
umami-smoked-kidney	high	wedding	speech-redirected	family	elevated
