# TRAIT NEIGHBOURS — the lookup for FACETS.md step 1, and the de-duplication map.
#
# Why this file exists. The near-neighbour collision is the most expensive failure in
# step 4: a scene gets built, then thrown away because it belongs to a trait somebody
# already wrote. It cannot be computed from the axes — hard-line (kidney/bitter/fried)
# and firm (navy/sour/dried) share no bean, no flavour and no form, and mystical sits
# next to otherworldly across a single shared form.
#
# GENERATED — do not hand-edit. The judgement lives in trait-families.tsv, which sorts
# all 360 traits into senses a reader could confuse; this file expands that map, so your
# neighbours are the other members of every family you are in. To change an adjacency,
# move the trait between families and re-run:
#
#   node scripts/build-trait-neighbours.mjs
#
# How to use it. At step 1, look your five up here and READ the entries listed, then
# write the separation prose into the batch file — what each neighbour owns, and what is
# left for yours. This file names the pairs; it does not do the thinking, and it is not a
# substitute for reading beans/, flavours/ and forms/.
#
# Marks:
#   trait(slug)    approved — its scenes are SPENT, go and read them
#   ~trait(slug)   not yet approved — no settled scenes to avoid, but the axes must part
#
# A trait in two families carries both families' members as neighbours; the families
# column names which. 46 families over 360 traits, 18 traits straddling two.
#
# slug	trait	excess	inverse	families	neighbours
bitter-dried-fava	steely	pitiless	pliant	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~hardy(bitter-dried-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
bitter-dried-green	honed	narrow	unpractised	precise+pared	ascetic(bitter-dried-cannellini) meticulous(sour-fried-cannellini) surgical(sour-smoked-edamame) ~austere(bitter-fried-mung) ~clinical(bitter-dried-mung) ~exacting(bitter-fried-cannellini) ~painstaking(spicy-boiled-cannellini) ~particular(sour-fried-navy) ~plain(sour-dried-butter) ~precise(sour-boiled-cannellini) ~selective(bitter-dried-adzuki) ~stringent(sour-dried-cannellini) ~temperate(bitter-roasted-mung)
bitter-dried-kidney	hardy	unyielding	frail	endurance	gritty(spicy-boiled-black) stoic(spicy-boiled-butter) tough(spicy-dried-navy) ~dogged(spicy-boiled-kidney) ~forbearing(bitter-boiled-kidney) ~indomitable(sweet-dried-fava) ~relentless(spicy-fried-black) ~steely(bitter-dried-fava) ~tested(sour-fermented-kidney) ~tireless(spicy-boiled-mung)
bitter-dried-mung	clinical	cold	mawkish	precise+pared	ascetic(bitter-dried-cannellini) meticulous(sour-fried-cannellini) surgical(sour-smoked-edamame) ~austere(bitter-fried-mung) ~exacting(bitter-fried-cannellini) ~honed(bitter-dried-green) ~painstaking(spicy-boiled-cannellini) ~particular(sour-fried-navy) ~plain(sour-dried-butter) ~precise(sour-boiled-cannellini) ~selective(bitter-dried-adzuki) ~stringent(sour-dried-cannellini) ~temperate(bitter-roasted-mung)
bitter-dried-navy	steady	inflexible	vacillating	immovable	rigid(spicy-boiled-navy) single-minded(spicy-fermented-navy) steadfast(spicy-smoked-navy) ~adamant(spicy-boiled-fava) ~firm(sour-dried-navy) ~resolute(sour-smoked-navy) ~resolved(umami-boiled-fava) ~stalwart(umami-fried-kidney) ~staunch(spicy-roasted-navy)
bitter-dried-pinto	cryptic	impenetrable	obvious	withholding+indirect	allusive(sour-smoked-pinto) hazy(sweet-smoked-butter) intricate(bitter-smoked-pinto) layered(umami-dried-pinto) quiet(sour-smoked-butter) terse(bitter-dried-edamame) ~clipped(sour-fried-black) ~hermetic(bitter-smoked-cannellini) ~inscrutable(bitter-smoked-black) ~interpretive(bitter-fermented-chickpea) ~laconic(bitter-dried-black) ~plain(sour-dried-butter) ~reticent(bitter-smoked-edamame) ~understated(sour-fermented-butter)
bitter-fermented-adzuki	antiquarian	fusty	faddish	detached	~bookish(bitter-fermented-navy) ~deadpan(bitter-fried-butter) ~nonchalant(bitter-roasted-butter) ~poised(bitter-roasted-black)
bitter-fermented-black	ruminative	morbid	unthinking	inward-thought	self-aware(sour-fermented-adzuki) ~contemplative(bitter-boiled-pinto) ~introspective(umami-fermented-black) ~inward(umami-fermented-pinto) ~musing(umami-boiled-pinto) ~pensive(sweet-fermented-black) ~philosophical(bitter-fermented-butter) ~reflective(umami-fermented-butter) ~speculative(bitter-fermented-green)
bitter-fermented-butter	philosophical	abstruse	prosaic	inward-thought	self-aware(sour-fermented-adzuki) ~contemplative(bitter-boiled-pinto) ~introspective(umami-fermented-black) ~inward(umami-fermented-pinto) ~musing(umami-boiled-pinto) ~pensive(sweet-fermented-black) ~reflective(umami-fermented-butter) ~ruminative(bitter-fermented-black) ~speculative(bitter-fermented-green)
bitter-fermented-cannellini	contrite	self-flagellating	impenitent	remorse-gratitude	~admiring(sour-smoked-cannellini) ~ceremonious(bitter-boiled-adzuki) ~grateful(sour-roasted-adzuki) ~reverential(umami-dried-adzuki)
bitter-fermented-chickpea	interpretive	tendentious	literal	examines+indirect	allusive(sour-smoked-pinto) analytical(bitter-boiled-edamame) hazy(sweet-smoked-butter) intricate(bitter-smoked-pinto) layered(umami-dried-pinto) rational(bitter-fermented-edamame) ~cryptic(bitter-dried-pinto) ~diagnostic(sour-fermented-mung) ~forensic(bitter-fried-black) ~logical(sour-boiled-edamame) ~methodical(sour-boiled-black) ~sceptical(sour-fermented-edamame)
bitter-fermented-edamame	rational	bloodless	irrational	examines	analytical(bitter-boiled-edamame) ~diagnostic(sour-fermented-mung) ~forensic(bitter-fried-black) ~interpretive(bitter-fermented-chickpea) ~logical(sour-boiled-edamame) ~methodical(sour-boiled-black) ~sceptical(sour-fermented-edamame)
bitter-fermented-fava	questioning	disputatious	credulous	curiosity	inquisitive(bitter-boiled-green) ~curious(umami-roasted-green) ~keen(umami-fried-edamame) ~speculative(bitter-fermented-green)
bitter-fermented-green	speculative	fantastical	unimaginative	inward-thought+curiosity	inquisitive(bitter-boiled-green) self-aware(sour-fermented-adzuki) ~contemplative(bitter-boiled-pinto) ~curious(umami-roasted-green) ~introspective(umami-fermented-black) ~inward(umami-fermented-pinto) ~keen(umami-fried-edamame) ~musing(umami-boiled-pinto) ~pensive(sweet-fermented-black) ~philosophical(bitter-fermented-butter) ~questioning(bitter-fermented-fava) ~reflective(umami-fermented-butter) ~ruminative(bitter-fermented-black)
bitter-fermented-kidney	vigilant	paranoid	oblivious	watches	careful(bitter-boiled-mung) deliberate(umami-fermented-navy) measured(bitter-boiled-black) ~attentive(umami-roasted-edamame) ~circumspect(bitter-dried-chickpea) ~judicious(bitter-boiled-cannellini) ~prudent(bitter-roasted-navy) ~temperate(bitter-roasted-mung) ~watchful(bitter-smoked-navy)
bitter-fermented-mung	intuitive	superstitious	imperceptive	sees-into	discerning(sour-fermented-cannellini) prescient(umami-smoked-edamame) shrewd(bitter-fried-chickpea) ~attuned(sour-smoked-chickpea) ~clear-eyed(sour-smoked-fava) ~insightful(umami-roasted-black) ~knowing(sour-smoked-adzuki) ~observant(umami-fermented-edamame) ~penetrating(sour-smoked-black) ~perceptive(sour-fermented-black)
bitter-fermented-navy	bookish	cloistered	unread	detached	~antiquarian(bitter-fermented-adzuki) ~deadpan(bitter-fried-butter) ~nonchalant(bitter-roasted-butter) ~poised(bitter-roasted-black)
bitter-fermented-pinto	artistic	precious	philistine	invention	innovative(umami-fermented-chickpea) ~budding(umami-smoked-green) ~creative(umami-fermented-green) ~idealistic(umami-fermented-cannellini) ~inventive(spicy-fermented-edamame) ~prolific(umami-boiled-green) ~visionary(sweet-fermented-fava)
bitter-fried-adzuki	droll	flippant	humourless	wit	witty(bitter-roasted-edamame) ~clever(sour-fermented-chickpea) ~epigrammatic(sour-dried-pinto) ~funny(sweet-fried-chickpea) ~irreverent(sour-roasted-pinto) ~quick-witted(sour-fried-adzuki) ~sardonic(sour-fermented-pinto) ~satirical(bitter-fried-pinto) ~wry(sour-dried-chickpea)
bitter-fried-black	forensic	inquisitorial	cursory	examines	analytical(bitter-boiled-edamame) rational(bitter-fermented-edamame) ~diagnostic(sour-fermented-mung) ~interpretive(bitter-fermented-chickpea) ~logical(sour-boiled-edamame) ~methodical(sour-boiled-black) ~sceptical(sour-fermented-edamame)
bitter-fried-butter	deadpan	affectless	histrionic	detached	~antiquarian(bitter-fermented-adzuki) ~bookish(bitter-fermented-navy) ~nonchalant(bitter-roasted-butter) ~poised(bitter-roasted-black)
bitter-fried-cannellini	exacting	perfectionist	slapdash	precise	meticulous(sour-fried-cannellini) surgical(sour-smoked-edamame) ~clinical(bitter-dried-mung) ~honed(bitter-dried-green) ~painstaking(spicy-boiled-cannellini) ~particular(sour-fried-navy) ~precise(sour-boiled-cannellini) ~stringent(sour-dried-cannellini)
bitter-fried-chickpea	shrewd	calculating	gullible	sees-into	discerning(sour-fermented-cannellini) intuitive(bitter-fermented-mung) prescient(umami-smoked-edamame) ~attuned(sour-smoked-chickpea) ~clear-eyed(sour-smoked-fava) ~insightful(umami-roasted-black) ~knowing(sour-smoked-adzuki) ~observant(umami-fermented-edamame) ~penetrating(sour-smoked-black) ~perceptive(sour-fermented-black)
bitter-fried-edamame	decisive	peremptory	dithering	authority	commanding(spicy-fried-navy) regal(umami-smoked-cannellini) ~assured(umami-fried-fava) ~authoritative(umami-fried-navy) ~confident(spicy-roasted-edamame) ~distinguished(umami-dried-cannellini) ~formidable(umami-dried-fava) ~proud(bitter-roasted-kidney) ~sure(spicy-dried-cannellini)
bitter-fried-fava	ambitious	grasping	content	ambition	~accomplished(umami-fried-green) ~competitive(spicy-roasted-fava) ~dedicated(umami-boiled-edamame) ~industrious(spicy-boiled-edamame) ~motivated(sweet-fried-edamame) ~purposeful(umami-fried-mung)
bitter-fried-green	impatient	precipitate	long-suffering	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~brisk(bitter-roasted-green) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
bitter-fried-kidney	hard-line	implacable	accommodating	opposition	rebellious(umami-fermented-fava) ~challenging(sour-fried-kidney) ~contrarian(sour-fermented-fava) ~defiant(umami-roasted-fava) ~indignant(sour-roasted-navy) ~maverick(spicy-fermented-green) ~righteous(sour-boiled-fava) ~shameless(bitter-roasted-fava) ~subversive(spicy-fermented-fava)
bitter-fried-mung	austere	callous	saccharine	pared	ascetic(bitter-dried-cannellini) ~clinical(bitter-dried-mung) ~honed(bitter-dried-green) ~plain(sour-dried-butter) ~selective(bitter-dried-adzuki) ~temperate(bitter-roasted-mung)
bitter-fried-navy	incisive	cutting	woolly	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~honest(sour-boiled-butter) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
bitter-fried-pinto	satirical	mocking	reverent	wit	witty(bitter-roasted-edamame) ~clever(sour-fermented-chickpea) ~droll(bitter-fried-adzuki) ~epigrammatic(sour-dried-pinto) ~funny(sweet-fried-chickpea) ~irreverent(sour-roasted-pinto) ~quick-witted(sour-fried-adzuki) ~sardonic(sour-fermented-pinto) ~wry(sour-dried-chickpea)
bitter-roasted-adzuki	polished	slick	rough	fine	exquisite(sweet-dried-cannellini) ~delicate(sweet-smoked-cannellini) ~distinguished(umami-dried-cannellini) ~refined(bitter-roasted-cannellini) ~stylish(bitter-roasted-pinto)
bitter-roasted-black	poised	aloof	flustered	detached	~antiquarian(bitter-fermented-adzuki) ~bookish(bitter-fermented-navy) ~deadpan(bitter-fried-butter) ~nonchalant(bitter-roasted-butter)
bitter-roasted-butter	nonchalant	blasé	fussy	detached	~antiquarian(bitter-fermented-adzuki) ~bookish(bitter-fermented-navy) ~deadpan(bitter-fried-butter) ~poised(bitter-roasted-black)
bitter-roasted-cannellini	refined	fastidious	coarse	fine	exquisite(sweet-dried-cannellini) ~delicate(sweet-smoked-cannellini) ~distinguished(umami-dried-cannellini) ~polished(bitter-roasted-adzuki) ~stylish(bitter-roasted-pinto)
bitter-roasted-chickpea	cosmopolitan	rootless	parochial	adaptable	adaptable(umami-boiled-chickpea) proactive(umami-fried-chickpea) ~conductive(spicy-dried-chickpea) ~instinctive(umami-fried-pinto) ~nimble(sour-fried-chickpea) ~practised(sweet-fermented-edamame) ~resourceful(spicy-boiled-chickpea)
bitter-roasted-edamame	witty	glib	leaden	wit	~clever(sour-fermented-chickpea) ~droll(bitter-fried-adzuki) ~epigrammatic(sour-dried-pinto) ~funny(sweet-fried-chickpea) ~irreverent(sour-roasted-pinto) ~quick-witted(sour-fried-adzuki) ~sardonic(sour-fermented-pinto) ~satirical(bitter-fried-pinto) ~wry(sour-dried-chickpea)
bitter-roasted-fava	shameless	brazen	sheepish	opposition	rebellious(umami-fermented-fava) ~challenging(sour-fried-kidney) ~contrarian(sour-fermented-fava) ~defiant(umami-roasted-fava) ~hard-line(bitter-fried-kidney) ~indignant(sour-roasted-navy) ~maverick(spicy-fermented-green) ~righteous(sour-boiled-fava) ~subversive(spicy-fermented-fava)
bitter-roasted-green	brisk	abrupt	dawdling	risk	daring(sweet-fried-fava) game(spicy-fried-butter) headlong(spicy-fried-fava) headstrong(spicy-fried-green) ~audacious(spicy-dried-fava) ~dauntless(bitter-boiled-fava) ~footloose(spicy-smoked-green) ~impatient(bitter-fried-green) ~impulsive(sour-fried-green) ~spontaneous(spicy-fried-chickpea) ~swift(sour-fried-fava)
bitter-roasted-kidney	proud	vainglorious	self-effacing	authority	commanding(spicy-fried-navy) decisive(bitter-fried-edamame) regal(umami-smoked-cannellini) ~assured(umami-fried-fava) ~authoritative(umami-fried-navy) ~confident(spicy-roasted-edamame) ~distinguished(umami-dried-cannellini) ~formidable(umami-dried-fava) ~sure(spicy-dried-cannellini)
bitter-roasted-mung	temperate	abstemious	intemperate	watches+pared	ascetic(bitter-dried-cannellini) careful(bitter-boiled-mung) deliberate(umami-fermented-navy) measured(bitter-boiled-black) ~attentive(umami-roasted-edamame) ~austere(bitter-fried-mung) ~circumspect(bitter-dried-chickpea) ~clinical(bitter-dried-mung) ~honed(bitter-dried-green) ~judicious(bitter-boiled-cannellini) ~plain(sour-dried-butter) ~prudent(bitter-roasted-navy) ~selective(bitter-dried-adzuki) ~vigilant(bitter-fermented-kidney) ~watchful(bitter-smoked-navy)
bitter-roasted-navy	prudent	miserly	profligate	watches	careful(bitter-boiled-mung) deliberate(umami-fermented-navy) measured(bitter-boiled-black) ~attentive(umami-roasted-edamame) ~circumspect(bitter-dried-chickpea) ~judicious(bitter-boiled-cannellini) ~temperate(bitter-roasted-mung) ~vigilant(bitter-fermented-kidney) ~watchful(bitter-smoked-navy)
bitter-roasted-pinto	stylish	affected	dowdy	fine	exquisite(sweet-dried-cannellini) ~delicate(sweet-smoked-cannellini) ~distinguished(umami-dried-cannellini) ~polished(bitter-roasted-adzuki) ~refined(bitter-roasted-cannellini)
bitter-smoked-adzuki	oracular	portentous	plainspoken	uncanny	eerie(bitter-smoked-green) haunting(bitter-smoked-kidney) mysterious(spicy-fermented-black) ~atmospheric(umami-smoked-pinto) ~ethereal(bitter-smoked-mung) ~hallowed(umami-smoked-adzuki) ~liminal(bitter-smoked-chickpea) ~mystical(sweet-smoked-black) ~otherworldly(bitter-smoked-fava) ~primal(umami-smoked-fava) ~solemn(umami-smoked-black)
bitter-smoked-black	inscrutable	opaque	legible	withholding	quiet(sour-smoked-butter) terse(bitter-dried-edamame) ~clipped(sour-fried-black) ~cryptic(bitter-dried-pinto) ~hermetic(bitter-smoked-cannellini) ~laconic(bitter-dried-black) ~plain(sour-dried-butter) ~reticent(bitter-smoked-edamame) ~understated(sour-fermented-butter)
bitter-smoked-butter	still	inert	restless	calm	composed(sour-fried-butter) placid(bitter-boiled-butter) quiet(sour-smoked-butter) restful(umami-boiled-butter) serene(sweet-dried-butter) ~languid(umami-smoked-butter) ~mellow(umami-dried-butter) ~patient(umami-boiled-black) ~settled(umami-fried-butter) ~tranquil(bitter-dried-butter)
bitter-smoked-cannellini	hermetic	reclusive	public	withholding	quiet(sour-smoked-butter) terse(bitter-dried-edamame) ~clipped(sour-fried-black) ~cryptic(bitter-dried-pinto) ~inscrutable(bitter-smoked-black) ~laconic(bitter-dried-black) ~plain(sour-dried-butter) ~reticent(bitter-smoked-edamame) ~understated(sour-fermented-butter)
bitter-smoked-chickpea	liminal	unmoored	planted	uncanny	eerie(bitter-smoked-green) haunting(bitter-smoked-kidney) mysterious(spicy-fermented-black) ~atmospheric(umami-smoked-pinto) ~ethereal(bitter-smoked-mung) ~hallowed(umami-smoked-adzuki) ~mystical(sweet-smoked-black) ~oracular(bitter-smoked-adzuki) ~otherworldly(bitter-smoked-fava) ~primal(umami-smoked-fava) ~solemn(umami-smoked-black)
bitter-smoked-edamame	reticent	withholding	voluble	withholding	quiet(sour-smoked-butter) terse(bitter-dried-edamame) ~clipped(sour-fried-black) ~cryptic(bitter-dried-pinto) ~hermetic(bitter-smoked-cannellini) ~inscrutable(bitter-smoked-black) ~laconic(bitter-dried-black) ~plain(sour-dried-butter) ~understated(sour-fermented-butter)
bitter-smoked-fava	otherworldly	unearthly	earthbound	uncanny	eerie(bitter-smoked-green) haunting(bitter-smoked-kidney) mysterious(spicy-fermented-black) ~atmospheric(umami-smoked-pinto) ~ethereal(bitter-smoked-mung) ~hallowed(umami-smoked-adzuki) ~liminal(bitter-smoked-chickpea) ~mystical(sweet-smoked-black) ~oracular(bitter-smoked-adzuki) ~primal(umami-smoked-fava) ~solemn(umami-smoked-black)
bitter-smoked-green	eerie	unnerving	mundane	uncanny	haunting(bitter-smoked-kidney) mysterious(spicy-fermented-black) ~atmospheric(umami-smoked-pinto) ~ethereal(bitter-smoked-mung) ~hallowed(umami-smoked-adzuki) ~liminal(bitter-smoked-chickpea) ~mystical(sweet-smoked-black) ~oracular(bitter-smoked-adzuki) ~otherworldly(bitter-smoked-fava) ~primal(umami-smoked-fava) ~solemn(umami-smoked-black)
bitter-smoked-kidney	haunting	harrowing	forgettable	uncanny	eerie(bitter-smoked-green) mysterious(spicy-fermented-black) ~atmospheric(umami-smoked-pinto) ~ethereal(bitter-smoked-mung) ~hallowed(umami-smoked-adzuki) ~liminal(bitter-smoked-chickpea) ~mystical(sweet-smoked-black) ~oracular(bitter-smoked-adzuki) ~otherworldly(bitter-smoked-fava) ~primal(umami-smoked-fava) ~solemn(umami-smoked-black)
bitter-smoked-mung	ethereal	wraithlike	earthy	uncanny	eerie(bitter-smoked-green) haunting(bitter-smoked-kidney) mysterious(spicy-fermented-black) ~atmospheric(umami-smoked-pinto) ~hallowed(umami-smoked-adzuki) ~liminal(bitter-smoked-chickpea) ~mystical(sweet-smoked-black) ~oracular(bitter-smoked-adzuki) ~otherworldly(bitter-smoked-fava) ~primal(umami-smoked-fava) ~solemn(umami-smoked-black)
bitter-smoked-navy	watchful	unsleeping	inattentive	watches	careful(bitter-boiled-mung) deliberate(umami-fermented-navy) measured(bitter-boiled-black) ~attentive(umami-roasted-edamame) ~circumspect(bitter-dried-chickpea) ~judicious(bitter-boiled-cannellini) ~prudent(bitter-roasted-navy) ~temperate(bitter-roasted-mung) ~vigilant(bitter-fermented-kidney)
bitter-smoked-pinto	intricate	labyrinthine	rudimentary	indirect	allusive(sour-smoked-pinto) hazy(sweet-smoked-butter) layered(umami-dried-pinto) ~cryptic(bitter-dried-pinto) ~interpretive(bitter-fermented-chickpea)
sour-boiled-adzuki	sincere	overearnest	insincere	open-hearted-speech	confiding(umami-roasted-cannellini) guileless(sour-roasted-butter) ~authentic(sour-roasted-fava) ~earnest(sour-roasted-black) ~open(sour-fried-pinto) ~revealing(sour-smoked-mung)
sour-boiled-black	methodical	mechanical	haphazard	examines	analytical(bitter-boiled-edamame) rational(bitter-fermented-edamame) ~diagnostic(sour-fermented-mung) ~forensic(bitter-fried-black) ~interpretive(bitter-fermented-chickpea) ~logical(sour-boiled-edamame) ~sceptical(sour-fermented-edamame)
sour-boiled-butter	honest	tactless	evasive	plain-speech	straightforward(sweet-dried-edamame) ~blunt(sour-fried-edamame) ~candid(sour-boiled-pinto) ~emphatic(spicy-fried-edamame) ~forthright(sour-roasted-edamame) ~frank(sour-roasted-cannellini) ~incisive(bitter-fried-navy) ~literal-minded(sour-boiled-navy) ~outspoken(sour-boiled-green) ~pointed(sour-dried-edamame)
sour-boiled-cannellini	precise	hairsplitting	approximate	precise	meticulous(sour-fried-cannellini) surgical(sour-smoked-edamame) ~clinical(bitter-dried-mung) ~exacting(bitter-fried-cannellini) ~honed(bitter-dried-green) ~painstaking(spicy-boiled-cannellini) ~particular(sour-fried-navy) ~stringent(sour-dried-cannellini)
