# Sense-families over all 360 traits. A family = traits a reader could confuse.
# Neighbours in trait-neighbours.tsv are generated from these: your neighbours are the
# other members of every family you belong to. A trait may sit in two families where it
# genuinely straddles; that is the point, not an error.
# family	traits (trait/short-slug, short = 2+2+3 of flavour-form-bean)
captivating	spellbinding/spsmpin, bewitching/spsmmun, transfixing/spsmadz, magnetic/sprobla, charismatic/sprocan, arresting/spsmcan, dazzling/swsmfav, luminous/swsmadz, iridescent/swsmgre
indirect	allusive/sosmpin, hazy/swsmbut, cryptic/bidrpin, intricate/bismpin, layered/umdrpin, interpretive/bifechi
fine	refined/birocan, exquisite/swdrcan, polished/biroadz, delicate/swsmcan, stylish/biropin, distinguished/umdrcan
pared	ascetic/bidrcan, selective/bidradz, austere/bifrmun, clinical/bidrmun, temperate/biromun, plain/sodrbut, honed/bidrgre
showy	lavish/swfrcan, flamboyant/spropin, expansive/umropin, effusive/swfrpin, demonstrative/spromun, gregarious/sprochi
humility	humble/umsmchi, self-deprecating/sofrmun, bashful/swsmmun, guileless/sorobut, wholesome/swdrchi, homespun/swfenav, familiar/swdrgre
remorse-gratitude	grateful/soroadz, contrite/bifecan, reverential/umdradz, admiring/sosmcan, ceremonious/biboadz
mourning	mournful/umsmkid, elegiac/umfeadz, melancholy/umromun, wistful/umronav, pensive/swfebla, solemn/umsmbla, storied/swdrpin
depth	profound/umdrbla, substantive/umdrchi, foundational/umdreda, potent/umdrgre, steeped/umsmmun, layered/umdrpin
adaptable	adaptable/umbochi, nimble/sofrchi, cosmopolitan/birochi, proactive/umfrchi, practised/swfeeda, conductive/spdrchi, resourceful/spbochi, instinctive/umfrpin
appetite	sensuous/spsmbut, indulgent/sprobut, openhanded/swfrmun, lavish/swfrcan
detached	nonchalant/birobut, deadpan/bifrbut, poised/birobla, antiquarian/bifeadz, bookish/bifenav
encouraging	emboldening/swrofav, encouraging/swbofav
